"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2012-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",10.22,"bereinigt"
"2012-01-01T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",8.84,"bereinigt"
"2012-01-01T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",971.65,"bereinigt"
"2012-01-01T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",10.57,"bereinigt"
"2012-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",95.6,"bereinigt"
"2012-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",8.12,"bereinigt"
"2012-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",968.64,"bereinigt"
"2012-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",9.6,"bereinigt"
"2012-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",39.61,"bereinigt"
"2012-01-02T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",314.3,"bereinigt"
"2012-01-02T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",7.07,"bereinigt"
"2012-01-02T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",968.45,"bereinigt"
"2012-01-02T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",11.07,"bereinigt"
"2012-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",397.1,"bereinigt"
"2012-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",6.96,"bereinigt"
"2012-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",965.34,"bereinigt"
"2012-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",10.67,"bereinigt"
"2012-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",12.59,"bereinigt"
"2012-01-03T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",74.03,"bereinigt"
"2012-01-03T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",6.52,"bereinigt"
"2012-01-03T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",975.75,"bereinigt"
"2012-01-03T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",9.26,"bereinigt"
"2012-01-03T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",71.47,"bereinigt"
"2012-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",6.29,"bereinigt"
"2012-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",972.62,"bereinigt"
"2012-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",9.15,"bereinigt"
"2012-01-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",63.38,"bereinigt"
"2012-01-04T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",322.38,"bereinigt"
"2012-01-04T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",6.25,"bereinigt"
"2012-01-04T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",973.81,"bereinigt"
"2012-01-04T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",8.95,"bereinigt"
"2012-01-04T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",400.9,"bereinigt"
"2012-01-04T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",6.07,"bereinigt"
"2012-01-04T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",970.64,"bereinigt"
"2012-01-04T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",8.22,"bereinigt"
"2012-01-04T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",43.04,"bereinigt"
"2012-01-05T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",579.35,"bereinigt"
"2012-01-05T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",5.36,"bereinigt"
"2012-01-05T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",960.41,"bereinigt"
