"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2015-01-01T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2015-01-01T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-1.85,"bereinigt"
"2015-01-01T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",984.71,"bereinigt"
"2015-01-01T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",-0.88,"bereinigt"
"2015-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",3.45,"bereinigt"
"2015-01-01T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-1.71,"bereinigt"
"2015-01-01T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",987.25,"bereinigt"
"2015-01-01T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-1.02,"bereinigt"
"2015-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2015-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-1.87,"bereinigt"
"2015-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",983.94,"bereinigt"
"2015-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-0.97,"bereinigt"
"2015-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",20.55,"bereinigt"
"2015-01-02T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",281.82,"bereinigt"
"2015-01-02T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",0.71,"bereinigt"
"2015-01-02T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",984.17,"bereinigt"
"2015-01-02T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",2.95,"bereinigt"
"2015-01-02T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",340.7,"bereinigt"
"2015-01-02T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",0.7,"bereinigt"
"2015-01-02T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",986.66,"bereinigt"
"2015-01-02T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",3.29,"bereinigt"
"2015-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",445.77,"bereinigt"
"2015-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",0.71,"bereinigt"
"2015-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",983.46,"bereinigt"
"2015-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",3.12,"bereinigt"
"2015-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",26.65,"bereinigt"
