"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2020-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-0.29,"provisorisch"
"2020-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2020-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",980.64,"provisorisch"
"2020-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",14.39,"provisorisch"
"2020-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",0.79,"provisorisch"
"2020-01-01T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",0.18,"provisorisch"
"2020-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"provisorisch"
"2020-01-01T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",983.55,"provisorisch"
"2020-01-01T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",1.01,"provisorisch"
"2020-01-01T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-0.36,"provisorisch"
"2020-01-01T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2020-01-01T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",981.16,"provisorisch"
"2020-01-01T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",0.65,"provisorisch"
"2020-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",0.15,"provisorisch"
"2020-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2020-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",978.57,"provisorisch"
"2020-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",25.06,"provisorisch"
"2020-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",1.02,"provisorisch"
"2020-01-02T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",0.55,"provisorisch"
"2020-01-02T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"provisorisch"
"2020-01-02T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",981.5,"provisorisch"
"2020-01-02T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",1.54,"provisorisch"
"2020-01-02T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",0.04,"provisorisch"
"2020-01-02T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2020-01-02T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",979.09,"provisorisch"
"2020-01-02T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",1.06,"provisorisch"
"2020-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",4.09,"provisorisch"
"2020-01-03T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",82.92,"provisorisch"
"2020-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",976.37,"provisorisch"
"2020-01-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",48.2,"provisorisch"
"2020-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.24,"provisorisch"
"2020-01-03T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",4.46,"provisorisch"
