"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"1999-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",18.05,"bereinigt"
"1999-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",1.12,"bereinigt"
"1999-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",957.28,"bereinigt"
"1999-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",2.36,"bereinigt"
"1999-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",50.34,"bereinigt"
"1999-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",2.52,"bereinigt"
"1999-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",957.45,"bereinigt"
"1999-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.04,"bereinigt"
"1999-01-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",33,"bereinigt"
"1999-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",6.18,"bereinigt"
"1999-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",958.05,"bereinigt"
"1999-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",8.59,"bereinigt"
"1999-01-04T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",30.92,"bereinigt"
"1999-01-04T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",8.31,"bereinigt"
"1999-01-04T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",964.78,"bereinigt"
"1999-01-04T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",10.82,"bereinigt"
"1999-01-05T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",65.29,"bereinigt"
"1999-01-05T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",7.76,"bereinigt"
"1999-01-05T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",967.18,"bereinigt"
"1999-01-05T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",10.96,"bereinigt"
"1999-01-06T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",72.58,"bereinigt"
"1999-01-06T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",5.68,"bereinigt"
"1999-01-06T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",965.74,"bereinigt"
"1999-01-06T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",10.02,"bereinigt"
"1999-01-07T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",49.99,"bereinigt"
"1999-01-07T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",7.21,"bereinigt"
"1999-01-07T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",959.37,"bereinigt"
"1999-01-07T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",12.44,"bereinigt"
