"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"1998-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",50.26,"bereinigt"
"1998-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",3.04,"bereinigt"
"1998-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",963.14,"bereinigt"
"1998-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.05,"bereinigt"
"1998-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",15.49,"bereinigt"
"1998-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",6.8,"bereinigt"
"1998-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",952.99,"bereinigt"
"1998-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",8.61,"bereinigt"
"1998-01-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",21.74,"bereinigt"
"1998-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",6.71,"bereinigt"
"1998-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",957.33,"bereinigt"
"1998-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",8.78,"bereinigt"
"1998-01-04T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",66.07,"bereinigt"
"1998-01-04T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",7,"bereinigt"
"1998-01-04T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",960.02,"bereinigt"
"1998-01-04T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.99,"bereinigt"
"1998-01-05T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",75.09,"bereinigt"
"1998-01-05T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",6.71,"bereinigt"
"1998-01-05T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",959.33,"bereinigt"
"1998-01-05T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",9.33,"bereinigt"
"1998-01-06T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",16.69,"bereinigt"
"1998-01-06T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",5.84,"bereinigt"
"1998-01-06T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",963.73,"bereinigt"
"1998-01-06T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.29,"bereinigt"
"1998-01-07T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",57.61,"bereinigt"
"1998-01-07T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",8.85,"bereinigt"
"1998-01-07T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",968.22,"bereinigt"
"1998-01-07T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",11.57,"bereinigt"
"1998-01-08T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",73.92,"bereinigt"
"1998-01-08T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",9.03,"bereinigt"
"1998-01-08T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",975.3,"bereinigt"
"1998-01-08T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",12.25,"bereinigt"
"1998-01-09T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",75.81,"bereinigt"
"1998-01-09T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",5.99,"bereinigt"
"1998-01-09T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",979.38,"bereinigt"
"1998-01-09T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",10.28,"bereinigt"
"1998-01-10T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",74.29,"bereinigt"
"1998-01-10T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",3.39,"bereinigt"
"1998-01-10T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",977.02,"bereinigt"
"1998-01-10T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.7,"bereinigt"
"1998-01-11T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",73.38,"bereinigt"
"1998-01-11T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",2.2,"bereinigt"
"1998-01-11T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",972.01,"bereinigt"
"1998-01-11T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.1,"bereinigt"
"1998-01-12T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",66.76,"bereinigt"
"1998-01-12T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",3.1,"bereinigt"
"1998-01-12T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",968.86,"bereinigt"
"1998-01-12T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.78,"bereinigt"
"1998-01-13T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",55.4,"bereinigt"
"1998-01-13T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",3.26,"bereinigt"
"1998-01-13T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",961.34,"bereinigt"
"1998-01-13T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.84,"bereinigt"
"1998-01-14T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",30.19,"bereinigt"
"1998-01-14T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",4.37,"bereinigt"
"1998-01-14T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",963.15,"bereinigt"
"1998-01-14T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.49,"bereinigt"
"1998-01-15T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",57.06,"bereinigt"
"1998-01-15T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",5.5,"bereinigt"
"1998-01-15T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",970.13,"bereinigt"
"1998-01-15T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.14,"bereinigt"
"1998-01-16T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",12.61,"bereinigt"
"1998-01-16T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",5.33,"bereinigt"
"1998-01-16T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",962.35,"bereinigt"
"1998-01-16T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.4,"bereinigt"
"1998-01-17T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",47.69,"bereinigt"
"1998-01-17T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",4.45,"bereinigt"
"1998-01-17T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.91,"bereinigt"
"1998-01-17T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.26,"bereinigt"
"1998-01-18T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",47.25,"bereinigt"
"1998-01-18T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",2.12,"bereinigt"
"1998-01-18T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",962.47,"bereinigt"
"1998-01-18T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.44,"bereinigt"
"1998-01-19T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",32.31,"bereinigt"
"1998-01-19T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",4.6,"bereinigt"
"1998-01-19T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",949.35,"bereinigt"
"1998-01-19T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.46,"bereinigt"
"1998-01-20T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",24.35,"bereinigt"
"1998-01-20T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",0.89,"bereinigt"
"1998-01-20T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",961.59,"bereinigt"
"1998-01-20T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",3.36,"bereinigt"
"1998-01-21T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",44.99,"bereinigt"
"1998-01-21T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",1.16,"bereinigt"
"1998-01-21T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",974.69,"bereinigt"
"1998-01-21T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",2.16,"bereinigt"
"1998-01-22T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",20.59,"bereinigt"
"1998-01-22T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-1.06,"bereinigt"
"1998-01-22T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",972.06,"bereinigt"
"1998-01-22T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-0.11,"bereinigt"
"1998-01-23T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",19.81,"bereinigt"
"1998-01-23T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-0.36,"bereinigt"
"1998-01-23T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",969.53,"bereinigt"
"1998-01-23T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-0.1,"bereinigt"
"1998-01-24T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",12.95,"bereinigt"
"1998-01-24T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-0.82,"bereinigt"
"1998-01-24T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",966.61,"bereinigt"
"1998-01-24T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-0.42,"bereinigt"
"1998-01-25T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",19.69,"bereinigt"
"1998-01-25T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-0.96,"bereinigt"
"1998-01-25T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",966.61,"bereinigt"
"1998-01-25T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-0.17,"bereinigt"
"1998-01-26T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",16.48,"bereinigt"
"1998-01-26T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-2.14,"bereinigt"
"1998-01-26T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.45,"bereinigt"
"1998-01-26T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-0.78,"bereinigt"
"1998-01-27T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",26.54,"bereinigt"
"1998-01-27T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-3.02,"bereinigt"
"1998-01-27T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",967.43,"bereinigt"
"1998-01-27T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-2.05,"bereinigt"
"1998-01-28T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",30.8,"bereinigt"
"1998-01-28T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-1.79,"bereinigt"
"1998-01-28T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",965.24,"bereinigt"
"1998-01-28T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",0.15,"bereinigt"
"1998-01-29T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",43.29,"bereinigt"
"1998-01-29T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-0.89,"bereinigt"
"1998-01-29T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",965.94,"bereinigt"
"1998-01-29T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",0.41,"bereinigt"
