"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2022-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",6.77,"provisorisch"
"2022-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2022-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",976.43,"provisorisch"
"2022-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",66.36,"provisorisch"
"2022-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",10.31,"provisorisch"
"2022-01-01T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",5.97,"provisorisch"
"2022-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"provisorisch"
"2022-01-01T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",979.19,"provisorisch"
"2022-01-01T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",10.1,"provisorisch"
"2022-01-01T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",5.91,"provisorisch"
"2022-01-01T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2022-01-01T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",976.76,"provisorisch"
"2022-01-01T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",10.15,"provisorisch"
"2022-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",7.51,"provisorisch"
"2022-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2022-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.89,"provisorisch"
"2022-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",44.48,"provisorisch"
"2022-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",11.72,"provisorisch"
"2022-01-02T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",7.53,"provisorisch"
"2022-01-02T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0.15,"provisorisch"
"2022-01-02T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",974.47,"provisorisch"
"2022-01-02T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",14.05,"provisorisch"
"2022-01-02T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",6.91,"provisorisch"
"2022-01-02T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2022-01-02T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",972.11,"provisorisch"
"2022-01-02T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",11.17,"provisorisch"
"2022-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",11.08,"provisorisch"
"2022-01-03T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",5.07,"provisorisch"
"2022-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",968.08,"provisorisch"
"2022-01-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",24.5,"provisorisch"
"2022-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",12.06,"provisorisch"
"2022-01-03T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",11.68,"provisorisch"
"2022-01-03T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",2.77,"provisorisch"
"2022-01-03T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",970.61,"provisorisch"
"2022-01-03T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",12.61,"provisorisch"
"2022-01-03T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",10.85,"provisorisch"
"2022-01-03T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",2.75,"provisorisch"
"2022-01-03T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",968.2,"provisorisch"
"2022-01-03T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",12.24,"provisorisch"
"2022-01-04T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",11.98,"provisorisch"
"2022-01-04T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",145.2,"provisorisch"
"2022-01-04T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",952.8,"provisorisch"
"2022-01-04T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",38.02,"provisorisch"
