"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2009-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",102.98,"bereinigt"
"2009-01-01T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",1.15,"bereinigt"
"2009-01-01T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",2.28,"bereinigt"
"2009-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",0.81,"bereinigt"
"2009-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",2.03,"bereinigt"
"2009-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",976.96,"bereinigt"
"2009-01-02T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2009-01-02T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-0.21,"bereinigt"
"2009-01-02T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",0.77,"bereinigt"
"2009-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-0.62,"bereinigt"
"2009-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",0.12,"bereinigt"
"2009-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",974.28,"bereinigt"
"2009-01-03T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2009-01-03T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-3.1,"bereinigt"
"2009-01-03T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-2.48,"bereinigt"
"2009-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-3.4,"bereinigt"
"2009-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-2.78,"bereinigt"
"2009-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",973.87,"bereinigt"
"2009-01-04T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2009-01-04T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-3.35,"bereinigt"
"2009-01-04T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-2.37,"bereinigt"
"2009-01-04T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-3.82,"bereinigt"
