"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2016-01-01T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",20.57,"bereinigt"
"2016-01-01T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",5.21,"bereinigt"
"2016-01-01T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",973.46,"bereinigt"
"2016-01-01T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",5.95,"bereinigt"
"2016-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",24.5,"bereinigt"
"2016-01-01T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",6.06,"bereinigt"
"2016-01-01T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",975.82,"bereinigt"
"2016-01-01T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",6.82,"bereinigt"
"2016-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",60.68,"bereinigt"
"2016-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",5.61,"bereinigt"
"2016-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",972.82,"bereinigt"
"2016-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.38,"bereinigt"
"2016-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",17.89,"bereinigt"
"2016-01-02T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",508.08,"bereinigt"
"2016-01-02T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",4.97,"bereinigt"
"2016-01-02T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",964.37,"bereinigt"
"2016-01-02T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",5.78,"bereinigt"
"2016-01-02T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",673.27,"bereinigt"
"2016-01-02T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",5.81,"bereinigt"
"2016-01-02T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",966.67,"bereinigt"
"2016-01-02T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",6.55,"bereinigt"
"2016-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",736.42,"bereinigt"
"2016-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",5.41,"bereinigt"
"2016-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",963.73,"bereinigt"
"2016-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.12,"bereinigt"
"2016-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",13.47,"bereinigt"
"2016-01-03T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",49.05,"bereinigt"
"2016-01-03T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",5.55,"bereinigt"
"2016-01-03T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",957.51,"bereinigt"
"2016-01-03T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",6.88,"bereinigt"
"2016-01-03T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",47.37,"bereinigt"
"2016-01-03T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",6.11,"bereinigt"
"2016-01-03T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",959.85,"bereinigt"
"2016-01-03T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",7.13,"bereinigt"
"2016-01-03T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",52.03,"bereinigt"
"2016-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",5.88,"bereinigt"
"2016-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",956.95,"bereinigt"
"2016-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.17,"bereinigt"
"2016-01-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",47.11,"bereinigt"
"2016-01-04T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",463.7,"bereinigt"
"2016-01-04T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",4.17,"bereinigt"
