"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2008-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2008-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-0.44,"bereinigt"
"2008-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",1.05,"bereinigt"
"2008-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",13.88,"bereinigt"
"2008-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.98,"bereinigt"
"2008-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2008-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-1.83,"bereinigt"
"2008-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-0.91,"bereinigt"
"2008-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",18.88,"bereinigt"
"2008-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",965.43,"bereinigt"
"2008-01-03T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2008-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-0.59,"bereinigt"
"2008-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",2.1,"bereinigt"
"2008-01-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",42.45,"bereinigt"
"2008-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",955.2,"bereinigt"
"2008-01-04T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2008-01-04T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",0.53,"bereinigt"
"2008-01-04T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",2.26,"bereinigt"
"2008-01-04T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",22.54,"bereinigt"
"2008-01-04T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",959.75,"bereinigt"
"2008-01-05T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",161.48,"bereinigt"
"2008-01-05T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",4.27,"bereinigt"
"2008-01-05T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.18,"bereinigt"
"2008-01-05T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",18.93,"bereinigt"
"2008-01-05T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",962.2,"bereinigt"
"2008-01-06T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",546,"bereinigt"
"2008-01-06T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",6.35,"bereinigt"
"2008-01-06T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",8.1,"bereinigt"
"2008-01-06T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",27.93,"bereinigt"
"2008-01-06T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",963.35,"bereinigt"
"2008-01-07T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",188.32,"bereinigt"
"2008-01-07T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",6.93,"bereinigt"
"2008-01-07T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",9.51,"bereinigt"
"2008-01-07T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",25.74,"bereinigt"
