"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2007-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",572.3,"bereinigt"
"2007-01-01T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",10.26,"bereinigt"
"2007-01-01T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",12.69,"bereinigt"
"2007-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",594.53,"bereinigt"
"2007-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",9.14,"bereinigt"
"2007-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",11.79,"bereinigt"
"2007-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",6.49,"bereinigt"
"2007-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.92,"bereinigt"
"2007-01-02T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",722.6,"bereinigt"
"2007-01-02T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",4.92,"bereinigt"
"2007-01-02T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",7.53,"bereinigt"
"2007-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",623.08,"bereinigt"
"2007-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",3.98,"bereinigt"
"2007-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.57,"bereinigt"
"2007-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",20.03,"bereinigt"
"2007-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.88,"bereinigt"
"2007-01-03T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",48.67,"bereinigt"
"2007-01-03T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",5.6,"bereinigt"
"2007-01-03T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",6.77,"bereinigt"
"2007-01-03T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",54.45,"bereinigt"
"2007-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",4.87,"bereinigt"
"2007-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.38,"bereinigt"
"2007-01-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",48.24,"bereinigt"
"2007-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",979.1,"bereinigt"
"2007-01-04T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",214.57,"bereinigt"
"2007-01-04T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",6.39,"bereinigt"
"2007-01-04T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",8.21,"bereinigt"
"2007-01-04T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",17.4,"bereinigt"
"2007-01-04T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",968.69,"bereinigt"
"2007-01-05T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",126.2,"bereinigt"
"2007-01-05T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",7.08,"bereinigt"
"2007-01-05T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.68,"bereinigt"
"2007-01-05T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",24.67,"bereinigt"
"2007-01-05T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",973.59,"bereinigt"
"2007-01-06T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",1.47,"bereinigt"
"2007-01-06T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",7.96,"bereinigt"
"2007-01-06T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",9.8,"bereinigt"
"2007-01-06T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",30.17,"bereinigt"
"2007-01-06T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",973.34,"bereinigt"
"2007-01-07T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",536.07,"bereinigt"
"2007-01-07T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",8.27,"bereinigt"
"2007-01-07T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",10,"bereinigt"
"2007-01-07T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",14.42,"bereinigt"
