"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"1996-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",22.21,"bereinigt"
"1996-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",1.96,"bereinigt"
"1996-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",950.36,"bereinigt"
"1996-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",2.48,"bereinigt"
"1996-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",14.52,"bereinigt"
"1996-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",2.67,"bereinigt"
"1996-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",956.41,"bereinigt"
"1996-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",3.33,"bereinigt"
"1996-01-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",25.66,"bereinigt"
"1996-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",2.23,"bereinigt"
"1996-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",968.56,"bereinigt"
"1996-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",3.14,"bereinigt"
"1996-01-04T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",44.28,"bereinigt"
"1996-01-04T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",1.08,"bereinigt"
"1996-01-04T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",965.71,"bereinigt"
"1996-01-04T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",1.99,"bereinigt"
"1996-01-05T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",40.76,"bereinigt"
"1996-01-05T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-0.47,"bereinigt"
"1996-01-05T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",954.37,"bereinigt"
"1996-01-05T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",0.42,"bereinigt"
"1996-01-06T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",22.98,"bereinigt"
"1996-01-06T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-0.5,"bereinigt"
"1996-01-06T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",948.92,"bereinigt"
"1996-01-06T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",0.95,"bereinigt"
"1996-01-07T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",18.95,"bereinigt"
"1996-01-07T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",3.24,"bereinigt"
"1996-01-07T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",951.59,"bereinigt"
"1996-01-07T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",5.32,"bereinigt"
"1996-01-08T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",28.07,"bereinigt"
"1996-01-08T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",4.66,"bereinigt"
"1996-01-08T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",961.64,"bereinigt"
"1996-01-08T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",5.27,"bereinigt"
"1996-01-09T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",34.35,"bereinigt"
"1996-01-09T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",2.97,"bereinigt"
"1996-01-09T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",958.69,"bereinigt"
"1996-01-09T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",4.38,"bereinigt"
"1996-01-10T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",54.21,"bereinigt"
"1996-01-10T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",3.52,"bereinigt"
"1996-01-10T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",956.26,"bereinigt"
"1996-01-10T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.77,"bereinigt"
"1996-01-11T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",50.16,"bereinigt"
"1996-01-11T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",3.66,"bereinigt"
"1996-01-11T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",955.96,"bereinigt"
"1996-01-11T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.27,"bereinigt"
"1996-01-12T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",52.91,"bereinigt"
"1996-01-12T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",4.26,"bereinigt"
"1996-01-12T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",954.53,"bereinigt"
"1996-01-12T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.48,"bereinigt"
"1996-01-13T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",60.5,"bereinigt"
"1996-01-13T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",3.65,"bereinigt"
"1996-01-13T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",965.21,"bereinigt"
"1996-01-13T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",5.99,"bereinigt"
"1996-01-14T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",14.74,"bereinigt"
"1996-01-14T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",2.54,"bereinigt"
"1996-01-14T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",969.27,"bereinigt"
"1996-01-14T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",3.38,"bereinigt"
"1996-01-15T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",16.81,"bereinigt"
"1996-01-15T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",1.87,"bereinigt"
"1996-01-15T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",974.8,"bereinigt"
"1996-01-15T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",2.51,"bereinigt"
"1996-01-16T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",16.97,"bereinigt"
"1996-01-16T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",0.93,"bereinigt"
"1996-01-16T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",977.43,"bereinigt"
"1996-01-16T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",1.25,"bereinigt"
"1996-01-17T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",26.53,"bereinigt"
