"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"1995-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",22.09,"bereinigt"
"1995-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",2.68,"bereinigt"
"1995-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",950.77,"bereinigt"
"1995-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",4.51,"bereinigt"
"1995-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",26.13,"bereinigt"
"1995-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-1.17,"bereinigt"
"1995-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",960.35,"bereinigt"
"1995-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",0.04,"bereinigt"
"1995-01-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",43.12,"bereinigt"
"1995-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-1.24,"bereinigt"
"1995-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.92,"bereinigt"
"1995-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-0.45,"bereinigt"
"1995-01-04T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",43.63,"bereinigt"
"1995-01-04T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-3.94,"bereinigt"
"1995-01-04T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",973.36,"bereinigt"
"1995-01-04T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-2.98,"bereinigt"
"1995-01-05T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",31.83,"bereinigt"
"1995-01-05T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-6.2,"bereinigt"
"1995-01-05T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.15,"bereinigt"
"1995-01-05T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-5.58,"bereinigt"
"1995-01-06T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",47.48,"bereinigt"
"1995-01-06T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-7,"bereinigt"
"1995-01-06T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",966.22,"bereinigt"
"1995-01-06T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-4.44,"bereinigt"
"1995-01-07T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",19.9,"bereinigt"
"1995-01-07T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-3.21,"bereinigt"
"1995-01-07T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",975.64,"bereinigt"
"1995-01-07T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-0.6,"bereinigt"
"1995-01-08T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",29.54,"bereinigt"
"1995-01-08T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-1.45,"bereinigt"
"1995-01-08T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",977.56,"bereinigt"
"1995-01-08T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-0.79,"bereinigt"
"1995-01-09T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",13.53,"bereinigt"
"1995-01-09T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",0.24,"bereinigt"
"1995-01-09T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",972.76,"bereinigt"
"1995-01-09T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",1.78,"bereinigt"
"1995-01-10T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",12.98,"bereinigt"
"1995-01-10T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",3.18,"bereinigt"
"1995-01-10T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",962.63,"bereinigt"
"1995-01-10T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",4.04,"bereinigt"
"1995-01-11T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",32.27,"bereinigt"
"1995-01-11T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",2.47,"bereinigt"
"1995-01-11T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",955.05,"bereinigt"
"1995-01-11T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",5.21,"bereinigt"
"1995-01-12T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",19.27,"bereinigt"
"1995-01-12T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",0.38,"bereinigt"
"1995-01-12T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",963.8,"bereinigt"
"1995-01-12T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",1.27,"bereinigt"
"1995-01-13T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",33.82,"bereinigt"
"1995-01-13T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-1.83,"bereinigt"
"1995-01-13T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",980.49,"bereinigt"
"1995-01-13T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-0.75,"bereinigt"
"1995-01-14T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",66.4,"bereinigt"
"1995-01-14T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-5.11,"bereinigt"
"1995-01-14T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",979.62,"bereinigt"
"1995-01-14T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-2.49,"bereinigt"
