"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2006-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",308.92,"bereinigt"
"2006-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",4.15,"bereinigt"
"2006-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",5.4,"bereinigt"
"2006-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",37.73,"bereinigt"
"2006-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",956,"bereinigt"
"2006-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",2.28,"bereinigt"
"2006-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",3.21,"bereinigt"
"2006-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",4.04,"bereinigt"
"2006-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",22.92,"bereinigt"
"2006-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",965.05,"bereinigt"
"2006-01-03T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",19.68,"bereinigt"
"2006-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",2.35,"bereinigt"
"2006-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",3.47,"bereinigt"
"2006-01-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",42.82,"bereinigt"
"2006-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",974.6,"bereinigt"
"2006-01-04T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2006-01-04T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",0.98,"bereinigt"
"2006-01-04T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",1.74,"bereinigt"
"2006-01-04T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",20.51,"bereinigt"
"2006-01-04T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.97,"bereinigt"
"2006-01-05T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2006-01-05T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",0.46,"bereinigt"
"2006-01-05T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",1.87,"bereinigt"
"2006-01-05T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2006-01-05T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-0.04,"bereinigt"
"2006-01-05T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",1.53,"bereinigt"
"2006-01-05T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",59.86,"bereinigt"
"2006-01-05T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",964.95,"bereinigt"
"2006-01-06T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2006-01-06T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-1.84,"bereinigt"
"2006-01-06T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-0.64,"bereinigt"
"2006-01-06T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2006-01-06T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-2.49,"bereinigt"
"2006-01-06T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-1.36,"bereinigt"
"2006-01-06T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",19.94,"bereinigt"
"2006-01-06T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",967.53,"bereinigt"
"2006-01-07T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",2.12,"bereinigt"
"2006-01-07T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-2.29,"bereinigt"
"2006-01-07T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-1.35,"bereinigt"
"2006-01-07T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2006-01-07T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-2.98,"bereinigt"
"2006-01-07T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-2.19,"bereinigt"
"2006-01-07T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",23.17,"bereinigt"
"2006-01-07T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",973.07,"bereinigt"
"2006-01-08T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2006-01-08T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-2.96,"bereinigt"
"2006-01-08T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-1.34,"bereinigt"
"2006-01-08T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2006-01-08T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-3.65,"bereinigt"
"2006-01-08T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-1.76,"bereinigt"
"2006-01-08T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",31.46,"bereinigt"
"2006-01-08T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",975.3,"bereinigt"
"2006-01-09T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2006-01-09T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-2.71,"bereinigt"
"2006-01-09T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-1.56,"bereinigt"
"2006-01-09T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2006-01-09T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-3.37,"bereinigt"
"2006-01-09T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-1.92,"bereinigt"
"2006-01-09T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",24.18,"bereinigt"
"2006-01-09T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",977.1,"bereinigt"
"2006-01-10T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2006-01-10T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-2.7,"bereinigt"
"2006-01-10T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-1.45,"bereinigt"
"2006-01-10T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2006-01-10T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-3.21,"bereinigt"
"2006-01-10T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-1.48,"bereinigt"
"2006-01-10T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",28.5,"bereinigt"
"2006-01-10T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",979.6,"bereinigt"
"2006-01-11T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2006-01-11T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-2.84,"bereinigt"
"2006-01-11T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-0.91,"bereinigt"
"2006-01-11T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2006-01-11T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-3.36,"bereinigt"
"2006-01-11T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-1.48,"bereinigt"
"2006-01-11T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",47.41,"bereinigt"
"2006-01-11T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",979.93,"bereinigt"
"2006-01-12T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0.1,"bereinigt"
"2006-01-12T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-2.01,"bereinigt"
"2006-01-12T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-0.09,"bereinigt"
"2006-01-12T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2006-01-12T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-2.83,"bereinigt"
"2006-01-12T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-0.54,"bereinigt"
"2006-01-12T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",47.46,"bereinigt"
"2006-01-12T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",979.75,"bereinigt"
"2006-01-13T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",5.83,"bereinigt"
"2006-01-13T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-2.94,"bereinigt"
"2006-01-13T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-1.69,"bereinigt"
"2006-01-13T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2006-01-13T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-3.97,"bereinigt"
"2006-01-13T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-2.58,"bereinigt"
"2006-01-13T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",38.04,"bereinigt"
"2006-01-13T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",979.35,"bereinigt"
"2006-01-14T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2006-01-14T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-3.8,"bereinigt"
"2006-01-14T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-3,"bereinigt"
"2006-01-14T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2006-01-14T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-4.37,"bereinigt"
"2006-01-14T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-3.58,"bereinigt"
"2006-01-14T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",27.65,"bereinigt"
"2006-01-14T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",978.55,"bereinigt"
"2006-01-15T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2006-01-15T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-4.7,"bereinigt"
"2006-01-15T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-3.03,"bereinigt"
"2006-01-15T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2006-01-15T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-5.39,"bereinigt"
"2006-01-15T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-3.32,"bereinigt"
"2006-01-15T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",45.26,"bereinigt"
"2006-01-15T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",974.17,"bereinigt"
"2006-01-16T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",119.83,"bereinigt"
"2006-01-16T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-3.56,"bereinigt"
"2006-01-16T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",-0.69,"bereinigt"
"2006-01-16T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",70.93,"bereinigt"
"2006-01-16T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-3.97,"bereinigt"
"2006-01-16T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",-1.23,"bereinigt"
"2006-01-16T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",51.86,"bereinigt"
"2006-01-16T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.35,"bereinigt"
"2006-01-17T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",939.47,"bereinigt"
"2006-01-17T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",3.24,"bereinigt"
"2006-01-17T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",6.06,"bereinigt"
