"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2000-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",273.9,"bereinigt"
"2000-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",23.8,"bereinigt"
"2000-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",2.28,"bereinigt"
"2000-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",974.84,"bereinigt"
"2000-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",3.59,"bereinigt"
"2000-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",1.2,"bereinigt"
"2000-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",18.12,"bereinigt"
"2000-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",2.76,"bereinigt"
"2000-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",978.13,"bereinigt"
"2000-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",3.17,"bereinigt"
"2000-01-03T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2000-01-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",40.85,"bereinigt"
"2000-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",1.64,"bereinigt"
"2000-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",977.68,"bereinigt"
"2000-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",3.11,"bereinigt"
"2000-01-04T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",NA,"bereinigt"
"2000-01-04T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",NA,"bereinigt"
"2000-01-04T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",NA,"bereinigt"
"2000-01-04T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",NA,"bereinigt"
