"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2003-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",89.84,"bereinigt"
"2003-01-01T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",9.13,"bereinigt"
"2003-01-01T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",10.47,"bereinigt"
"2003-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",82.6,"bereinigt"
"2003-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",8.25,"bereinigt"
"2003-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",9.63,"bereinigt"
"2003-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",50.99,"bereinigt"
"2003-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",958.83,"bereinigt"
"2003-01-02T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",350.83,"bereinigt"
"2003-01-02T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",12,"bereinigt"
"2003-01-02T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",14.4,"bereinigt"
"2003-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",319.79,"bereinigt"
"2003-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",10.84,"bereinigt"
"2003-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",13.16,"bereinigt"
"2003-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",8.99,"bereinigt"
"2003-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",948.98,"bereinigt"
"2003-01-03T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",158.93,"bereinigt"
"2003-01-03T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",9.82,"bereinigt"
"2003-01-03T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",11.01,"bereinigt"
"2003-01-03T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",130.6,"bereinigt"
"2003-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",8.9,"bereinigt"
"2003-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",10.43,"bereinigt"
"2003-01-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",39.77,"bereinigt"
"2003-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",951.6,"bereinigt"
"2003-01-04T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",677.27,"bereinigt"
"2003-01-04T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",6.48,"bereinigt"
"2003-01-04T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",8.4,"bereinigt"
"2003-01-04T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",671.56,"bereinigt"
"2003-01-04T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",5.64,"bereinigt"
"2003-01-04T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.39,"bereinigt"
"2003-01-04T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",15.16,"bereinigt"
"2003-01-04T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",950.48,"bereinigt"
"2003-01-05T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",317.42,"bereinigt"
"2003-01-05T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-0.82,"bereinigt"
