"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2017-01-01T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2017-01-01T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-1.51,"bereinigt"
"2017-01-01T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",972.88,"bereinigt"
"2017-01-01T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",1.6,"bereinigt"
"2017-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2017-01-01T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-1.26,"bereinigt"
"2017-01-01T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",975.38,"bereinigt"
"2017-01-01T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",1,"bereinigt"
"2017-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2017-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-1.44,"bereinigt"
"2017-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",972.37,"bereinigt"
"2017-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",1,"bereinigt"
"2017-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",47.07,"bereinigt"
"2017-01-02T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",229.3,"bereinigt"
"2017-01-02T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-0.57,"bereinigt"
"2017-01-02T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",971.58,"bereinigt"
"2017-01-02T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",1.51,"bereinigt"
"2017-01-02T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",264.1,"bereinigt"
"2017-01-02T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-0.03,"bereinigt"
"2017-01-02T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",974.05,"bereinigt"
"2017-01-02T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",2.16,"bereinigt"
"2017-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",214.63,"bereinigt"
"2017-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-0.45,"bereinigt"
"2017-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.1,"bereinigt"
"2017-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",1.65,"bereinigt"
"2017-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",36.53,"bereinigt"
"2017-01-03T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2017-01-03T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-1.7,"bereinigt"
"2017-01-03T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",975.61,"bereinigt"
"2017-01-03T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",0.24,"bereinigt"
"2017-01-03T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",1.53,"bereinigt"
"2017-01-03T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-0.83,"bereinigt"
"2017-01-03T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",978.1,"bereinigt"
"2017-01-03T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",1.09,"bereinigt"
"2017-01-03T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",3.07,"bereinigt"
"2017-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-1.42,"bereinigt"
"2017-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",975.05,"bereinigt"
"2017-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",0.37,"bereinigt"
"2017-01-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",9.87,"bereinigt"
"2017-01-04T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",129.55,"bereinigt"
"2017-01-04T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",0.16,"bereinigt"
"2017-01-04T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",969.99,"bereinigt"
"2017-01-04T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",1.73,"bereinigt"
"2017-01-04T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",244.57,"bereinigt"
"2017-01-04T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",0.85,"bereinigt"
"2017-01-04T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",972.42,"bereinigt"
"2017-01-04T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",2.37,"bereinigt"
"2017-01-04T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",115.87,"bereinigt"
"2017-01-04T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",0.42,"bereinigt"
"2017-01-04T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",969.58,"bereinigt"
"2017-01-04T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",1.83,"bereinigt"
"2017-01-04T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",5.66,"bereinigt"
"2017-01-05T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",74.88,"bereinigt"
"2017-01-05T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-1.16,"bereinigt"
"2017-01-05T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",974.79,"bereinigt"
"2017-01-05T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",0.63,"bereinigt"
"2017-01-05T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",98.79,"bereinigt"
"2017-01-05T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-0.37,"bereinigt"
"2017-01-05T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",977.25,"bereinigt"
"2017-01-05T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",1.35,"bereinigt"
"2017-01-05T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",70.42,"bereinigt"
