"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2020-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.5,"provisorisch"
"2020-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.38,"provisorisch"
"2020-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",27.2,"provisorisch"
"2020-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",12.42,"provisorisch"
"2020-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",32.98,"provisorisch"
"2020-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",4.6,"provisorisch"
"2020-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",27.58,"provisorisch"
"2020-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",23.59,"provisorisch"
"2020-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",11.63,"provisorisch"
"2020-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2020-01-01T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",7113.3,"provisorisch"
"2020-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",36.4,"provisorisch"
"2020-01-01T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",21.27,"provisorisch"
"2020-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",36.99,"provisorisch"
"2020-01-01T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",4.23,"provisorisch"
"2020-01-01T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",30.75,"provisorisch"
"2020-01-01T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",26.71,"provisorisch"
"2020-01-01T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",11.03,"provisorisch"
