"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2021-11-14T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",19.89,"provisorisch"
"2021-11-14T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",14.53,"provisorisch"
"2021-11-14T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",12.18,"provisorisch"
"2021-11-14T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",41.96,"provisorisch"
"2021-11-14T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-11-14T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",11120.53,"provisorisch"
"2021-11-14T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",29.33,"provisorisch"
"2021-11-14T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",17.64,"provisorisch"
"2021-11-14T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",29.04,"provisorisch"
"2021-11-14T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",17.78,"provisorisch"
"2021-11-14T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",15.01,"provisorisch"
"2021-11-14T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",13.87,"provisorisch"
"2021-11-14T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",37.02,"provisorisch"
"2021-11-14T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-11-14T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",6.3,"provisorisch"
"2021-11-14T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.86,"provisorisch"
"2021-11-14T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",10.73,"provisorisch"
"2021-11-14T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",36.42,"provisorisch"
"2021-11-14T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",47.32,"provisorisch"
"2021-11-14T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-11-15T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.05,"provisorisch"
"2021-11-15T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.25,"provisorisch"
"2021-11-15T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",19.24,"provisorisch"
"2021-11-15T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",11.22,"provisorisch"
"2021-11-15T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",19.59,"provisorisch"
"2021-11-15T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",17.81,"provisorisch"
"2021-11-15T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",14.7,"provisorisch"
"2021-11-15T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",11.48,"provisorisch"
"2021-11-15T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",33.36,"provisorisch"
"2021-11-15T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-11-15T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",13241,"provisorisch"
"2021-11-15T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",24.92,"provisorisch"
"2021-11-15T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",17.04,"provisorisch"
"2021-11-15T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",21.53,"provisorisch"
"2021-11-15T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",18.66,"provisorisch"
"2021-11-15T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",16.33,"provisorisch"
"2021-11-15T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",11.91,"provisorisch"
"2021-11-15T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",34.7,"provisorisch"
"2021-11-15T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-11-15T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",9811.7,"provisorisch"
"2021-11-15T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",32.82,"provisorisch"
"2021-11-15T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",24.65,"provisorisch"
"2021-11-15T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",24.97,"provisorisch"
"2021-11-15T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",16.32,"provisorisch"
"2021-11-15T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",15.57,"provisorisch"
"2021-11-15T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",13.83,"provisorisch"
"2021-11-15T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",31.59,"provisorisch"
"2021-11-15T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-11-15T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",7.39,"provisorisch"
"2021-11-15T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1.27,"provisorisch"
"2021-11-15T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",12.18,"provisorisch"
"2021-11-15T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",21.56,"provisorisch"
"2021-11-15T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",34.7,"provisorisch"
"2021-11-15T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-11-16T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",0.82,"provisorisch"
"2021-11-16T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.23,"provisorisch"
"2021-11-16T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",14.72,"provisorisch"
"2021-11-16T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",5.6,"provisorisch"
"2021-11-16T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",19.56,"provisorisch"
"2021-11-16T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",16.15,"provisorisch"
"2021-11-16T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",14.03,"provisorisch"
"2021-11-16T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",10.9,"provisorisch"
